Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Grateful Charm Wall Plate,Iron,₹808,https://vaaree.com/products/grateful-charm-wall-plate,"₹1,999",60% off,Delivery Tomorrow,Wall Decor,4,6 Reviews
Equine Rustic Wall Art - Set Of Two,Wood,₹540,https://vaaree.com/products/equine-rustic-wall-art-set-of-two,"₹2,000",73% off,Delivery Tomorrow,Wall Decor,4.1,7 Reviews
Patra Candle Holder Wall Decor,Metal,₹987,https://vaaree.com/products/patra-candle-holder-wall-decor,"₹1,500",35% off,Delivery Tomorrow,Wall Decor,3,1 Reviews
Memories To Rejoice Photo Frames (Brown) - Set Of Ten,Acrylic Wood,"₹1,798",https://vaaree.com/products/memories-to-rejoice-photo-frames-brown-set-of-ten,"₹5,995",70% off,Delivery Tomorrow,Wall Decor,3,1 Reviews
Positive Vibes Hanging Bells,Metal,₹375,https://vaaree.com/products/postive-vibes-hanging-bells,₹615,39% off,Delivery Tomorrow,Wall Decor,5,4 Reviews
Vivid Indian Heritage Wall Art - Set Of Seven,Wood,"₹1,340",https://vaaree.com/products/vivid-indian-heritage-wall-art-set-of-seven,"₹7,000",81% off,Delivery Tomorrow,Wall Decor,4,1 Reviews
Vintage Red Frames Wall Art - Set Of Eight,MDF,"₹1,232",https://vaaree.com/products/vintage-red-frames-wall-art-set-of-eight,"₹2,354",48% off,Delivery Tomorrow,Wall Decor,4,1 Reviews
Nauko Wall Accent - Set Of Two,Iron,₹775,https://vaaree.com/products/nauko-wall-accent-set-of-two,"₹1,080",29% off,Delivery Tomorrow,Wall Decor,5,2 Reviews
Family Memories (Black) - Set Of Six,MDF,₹770,https://vaaree.com/products/family-memories-black-set-of-six,"₹2,000",62% off,"Tue, 4th Mar",Wall Decor,4.1,75 Reviews
Shyam Art Painting - Set Of Two,Wood,₹540,https://vaaree.com/products/shyam-art-painting-set-of-two,"₹2,000",73% off,Delivery Tomorrow,Wall Decor,4,2 Reviews
This Is Us Photo Frame - Set Of Five,MDF,₹718,https://vaaree.com/products/this-is-us-photo-frame-set-of-five,"₹1,000",29% off,Delivery Today,Wall Decor,4,5 Reviews
Root Riva Wall Accent,Iron,"₹1,271",https://vaaree.com/products/root-riva-wall-accent,"₹1,770",29% off,Delivery Tomorrow,Wall Decor,3.8,4 Reviews
The Explorer Wall Art - Set Of Eight,Wood,"₹1,340",https://vaaree.com/products/the-explorer-wall-art-set-of-eight,"₹2,000",33% off,Delivery Tomorrow,Wall Decor,4.5,2 Reviews
Vintage Artchitecture Wall Art - Set Of Four,MDF,"₹1,002",https://vaaree.com/products/vintage-artchitecture-wall-art-set-of-four,"₹2,354",58% off,Delivery Tomorrow,Wall Decor,3.1,7 Reviews
Ganesh Surya Wall Accent,Metal,₹540,https://vaaree.com/products/ganesh-surya-wall-accent,"₹1,099",51% off,"Sun, 2nd Mar",Wall Decor,4.5,2 Reviews
Bohemia Hanging Shelf,Cotton,₹323,https://vaaree.com/products/bohemia-hanging-shelf,"₹1,000",68% off,Delivery Tomorrow,Wall Decor,4.4,17 Reviews
Vinayaka With Bell Wall Accent,Brass,₹840,https://vaaree.com/products/vinayaka-with-bell-wall-accent,"₹1,099",24% off,"Mon, 3rd Mar",Wall Decor,2,2 Reviews
Owl Hoot Windchime,Metal,₹729,https://vaaree.com/products/owl-hoot-windchime,"₹1,019",29% off,Delivery Tomorrow,Wall Decor,5,1 Reviews
Acra Wall Accent,MDF,₹544,https://vaaree.com/products/acra-wall-accent,"₹2,000",73% off,Delivery Tomorrow,Wall Decor,3,1 Reviews
Memories To Rejoice Photo Frames (White) - Set Of Seven,Acrylic Wood,"₹1,335",https://vaaree.com/products/memories-to-rejoice-photo-frames-white-set-of-seven,"₹4,197",69% off,Delivery Tomorrow,Wall Decor,Inclusive of all taxes,Bundles
Mayoora Regal Wall Art,Wood,₹899,https://vaaree.com/products/mayoora-regal-wall-art,"₹5,000",82% off,Delivery Tomorrow,Wall Decor,1,1 Reviews
Hibiscus Bloom Wall Painting - Set Of Two,Canvas,"₹1,608",https://vaaree.com/products/hibiscus-bloom-wall-painting-set-of-two,"₹5,000",68% off,Delivery Tomorrow,Wall Decor,1.3,6 Reviews
Calm Buddha Wall Painting,Canvas,₹902,https://vaaree.com/products/calm-buddha-wall-painting,"₹5,000",82% off,Delivery Tomorrow,Wall Decor,4.5,2 Reviews
Memories Encased Photo Frame (Black) - Set Of Ten,MDF,"₹1,027",https://vaaree.com/products/memories-encased-photo-frame-black-set-of-ten,"₹2,000",49% off,Delivery Tomorrow,Wall Decor,3,2 Reviews
